State,Crop,Season,Year,Area,Production
Punjab,Cotton,Rabi,2023,389.53,1483.37
Karnataka,Cotton,Rabi,2021,749.71,3518.98
Punjab,Maize,Rabi,2020,841.34,4100.17
Maharashtra,Maize,Rabi,2019,297.66,1271.58
Tamil Nadu,Maize,Kharif,2021,375.94,891.78
Tamil Nadu,Wheat,Kharif,2021,385.51,1285.91
Maharashtra,Wheat,Rabi,2019,597.2,2729.73
Karnataka,Rice,Rabi,2022,778.76,2268.2
Karnataka,Rice,Rabi,2020,795.29,2146.36
Punjab,Rice,Rabi,2022,864.62,4303.26
Maharashtra,Cotton,Rabi,2021,996.02,3568.68
Punjab,Cotton,Rabi,2022,681.26,1574.36
Punjab,Maize,Rabi,2020,412.84,1787.77
Maharashtra,Maize,Rabi,2020,261.31,608.53
Tamil Nadu,Cotton,Kharif,2018,732.73,1933.41
Tamil Nadu,Maize,Kharif,2022,805.46,3858.44
Maharashtra,Maize,Kharif,2019,967.49,3653.0
Tamil Nadu,Cotton,Kharif,2023,439.37,2196.42
Tamil Nadu,Wheat,Rabi,2018,579.68,2711.64
Tamil Nadu,Maize,Rabi,2023,623.28,1450.66
Punjab,Cotton,Kharif,2020,96.84,465.97
Karnataka,Cotton,Kharif,2022,32.22,81.35
Maharashtra,Cotton,Rabi,2018,337.0,1247.86
Maharashtra,Rice,Rabi,2021,569.7,2105.61
Tamil Nadu,Cotton,Kharif,2020,823.08,2657.16
Maharashtra,Wheat,Rabi,2020,948.09,4010.14
Karnataka,Maize,Kharif,2022,458.58,956.84
Karnataka,Maize,Rabi,2021,308.42,1093.5
Maharashtra,Wheat,Kharif,2018,766.46,2364.52
Punjab,Wheat,Kharif,2021,624.34,1937.0
Punjab,Cotton,Rabi,2018,358.34,1052.04
Tamil Nadu,Wheat,Rabi,2021,686.63,3386.54
Karnataka,Wheat,Rabi,2018,201.32,771.79
Tamil Nadu,Cotton,Kharif,2021,251.26,561.45
Maharashtra,Rice,Kharif,2018,659.31,2456.94
Tamil Nadu,Maize,Kharif,2020,528.22,1331.72
Maharashtra,Cotton,Rabi,2019,906.9,2971.87
Punjab,Maize,Kharif,2023,825.27,2482.13
Punjab,Rice,Kharif,2018,902.23,3199.42
Maharashtra,Wheat,Kharif,2021,397.6,1980.84
Karnataka,Wheat,Rabi,2021,941.64,2606.71
Maharashtra,Rice,Kharif,2018,659.53,2775.24
Karnataka,Maize,Rabi,2021,128.52,294.69
Tamil Nadu,Rice,Rabi,2018,188.47,532.94
Tamil Nadu,Cotton,Kharif,2019,348.91,1447.49
Tamil Nadu,Wheat,Kharif,2022,763.64,2907.58
Karnataka,Rice,Rabi,2018,495.44,1521.24
Tamil Nadu,Maize,Rabi,2023,534.57,1207.75
Karnataka,Wheat,Rabi,2022,133.92,268.06
Karnataka,Maize,Kharif,2023,34.01,91.28
Tamil Nadu,Maize,Rabi,2023,972.53,4522.38
Maharashtra,Wheat,Kharif,2023,918.19,4061.57
Tamil Nadu,Wheat,Kharif,2022,747.02,3734.31
Maharashtra,Cotton,Kharif,2023,320.72,1238.33
Maharashtra,Rice,Kharif,2023,874.13,2388.93
Maharashtra,Cotton,Kharif,2022,776.0,1812.45
Maharashtra,Maize,Kharif,2022,753.94,3279.7
Karnataka,Cotton,Kharif,2021,920.12,3159.46
Punjab,Rice,Rabi,2020,846.01,2756.0
Maharashtra,Maize,Kharif,2022,552.97,1763.76
Tamil Nadu,Rice,Kharif,2022,372.62,1076.89
Karnataka,Wheat,Kharif,2023,36.1,73.86
Karnataka,Cotton,Kharif,2018,952.74,2949.84
Karnataka,Wheat,Kharif,2020,142.19,625.5
Tamil Nadu,Maize,Kharif,2023,281.1,854.31
Punjab,Maize,Kharif,2021,538.11,1287.99
Punjab,Wheat,Kharif,2020,139.71,311.4
Maharashtra,Rice,Kharif,2023,837.52,3234.89
Punjab,Wheat,Kharif,2023,642.78,1747.41
Maharashtra,Wheat,Kharif,2021,696.84,3003.2
Punjab,Cotton,Kharif,2021,446.29,1001.28
Punjab,Rice,Kharif,2020,797.96,2146.71
Karnataka,Wheat,Rabi,2022,175.68,454.58
Karnataka,Maize,Rabi,2019,817.22,2697.51
Punjab,Maize,Kharif,2019,608.42,1451.69
Punjab,Wheat,Rabi,2023,417.17,1019.43
Tamil Nadu,Cotton,Rabi,2021,930.07,3629.53
Maharashtra,Cotton,Rabi,2023,683.78,3308.32
Karnataka,Maize,Kharif,2019,415.86,851.5
Punjab,Maize,Kharif,2020,741.32,2025.26
Maharashtra,Cotton,Rabi,2019,276.84,1188.98
Maharashtra,Wheat,Rabi,2019,49.78,176.66
Karnataka,Wheat,Kharif,2018,31.2,91.19
Punjab,Cotton,Kharif,2018,389.78,1778.06
Maharashtra,Cotton,Rabi,2023,167.91,577.68
Maharashtra,Wheat,Rabi,2018,265.36,1071.45
Tamil Nadu,Wheat,Kharif,2021,274.49,1271.44
Karnataka,Wheat,Rabi,2020,181.5,901.08
Tamil Nadu,Rice,Kharif,2020,868.41,3504.61
Maharashtra,Maize,Kharif,2022,770.05,2394.61
Tamil Nadu,Wheat,Kharif,2018,506.13,2320.56
Maharashtra,Rice,Kharif,2023,620.18,1726.5
Tamil Nadu,Wheat,Kharif,2018,34.67,110.35
Karnataka,Rice,Kharif,2020,666.77,3222.25
Tamil Nadu,Cotton,Kharif,2023,672.09,1914.34
Tamil Nadu,Wheat,Kharif,2022,714.86,3322.36
Maharashtra,Maize,Kharif,2018,494.3,1731.12
Maharashtra,Maize,Kharif,2018,619.34,1665.88
Karnataka,Cotton,Rabi,2023,546.54,1192.75
Maharashtra,Cotton,Rabi,2019,334.6,1613.74
Karnataka,Maize,Rabi,2021,95.64,323.58
Punjab,Rice,Kharif,2021,31.14,138.14
Maharashtra,Maize,Rabi,2022,50.36,250.61
Punjab,Wheat,Kharif,2021,15.31,46.0
Tamil Nadu,Maize,Kharif,2023,203.85,573.11
Punjab,Rice,Kharif,2021,556.6,1986.13
Karnataka,Wheat,Kharif,2020,686.54,3170.94
Tamil Nadu,Wheat,Rabi,2019,43.38,135.07
Tamil Nadu,Wheat,Kharif,2020,199.81,821.75
Punjab,Rice,Kharif,2020,636.69,1350.74
Maharashtra,Maize,Rabi,2018,467.1,955.64
Karnataka,Rice,Kharif,2023,484.51,1588.87
Punjab,Maize,Kharif,2018,813.39,2858.59
Maharashtra,Cotton,Kharif,2021,773.72,3630.56
Maharashtra,Cotton,Rabi,2023,414.96,1766.03
Punjab,Cotton,Rabi,2023,612.32,1745.08
Punjab,Wheat,Rabi,2020,216.3,599.64
Tamil Nadu,Wheat,Kharif,2023,570.19,1890.24
Maharashtra,Cotton,Rabi,2018,207.86,688.69
Maharashtra,Cotton,Rabi,2023,522.31,2400.37
Punjab,Cotton,Kharif,2018,559.49,2336.97
Karnataka,Maize,Rabi,2023,909.54,4323.53
Maharashtra,Wheat,Rabi,2018,235.28,1091.54
Tamil Nadu,Maize,Rabi,2018,599.72,2624.56
Tamil Nadu,Maize,Kharif,2023,891.31,3381.43
Punjab,Maize,Rabi,2020,507.05,1055.19
Tamil Nadu,Wheat,Kharif,2019,238.58,1080.72
Maharashtra,Cotton,Rabi,2019,419.0,1425.85
Karnataka,Cotton,Rabi,2022,901.8,3074.65
Tamil Nadu,Wheat,Kharif,2018,89.48,269.5
Maharashtra,Rice,Kharif,2020,16.09,62.11
Tamil Nadu,Wheat,Kharif,2022,321.67,1201.19
Maharashtra,Maize,Kharif,2019,612.65,1605.79
Karnataka,Wheat,Rabi,2019,528.33,1857.73
Punjab,Maize,Kharif,2021,65.99,149.77
Maharashtra,Wheat,Rabi,2022,635.6,2240.83
Tamil Nadu,Wheat,Rabi,2020,133.84,583.55
Tamil Nadu,Wheat,Rabi,2022,50.64,184.76
Maharashtra,Cotton,Rabi,2020,300.11,885.67
Karnataka,Rice,Kharif,2022,748.67,1723.85
Punjab,Rice,Rabi,2019,33.88,110.09
Karnataka,Rice,Rabi,2018,870.83,2203.4
Karnataka,Maize,Kharif,2018,565.13,1227.77
Maharashtra,Rice,Kharif,2021,211.9,677.97
Tamil Nadu,Wheat,Rabi,2021,416.67,1131.18
Karnataka,Wheat,Rabi,2023,984.13,3668.2
Tamil Nadu,Wheat,Rabi,2022,609.47,2454.66
Karnataka,Cotton,Rabi,2019,956.33,3440.7
Karnataka,Maize,Rabi,2019,504.33,1548.3
Tamil Nadu,Wheat,Rabi,2018,850.99,4166.37
Karnataka,Wheat,Rabi,2023,394.23,826.83
Punjab,Maize,Rabi,2023,970.7,2094.99
Karnataka,Maize,Rabi,2020,905.1,4270.34
Tamil Nadu,Rice,Kharif,2018,786.83,3850.01
Punjab,Rice,Kharif,2018,993.41,3802.48
Tamil Nadu,Wheat,Rabi,2021,72.05,171.55
Punjab,Cotton,Rabi,2020,819.16,4032.87
Maharashtra,Maize,Rabi,2023,405.33,1267.15
Karnataka,Rice,Rabi,2018,834.36,4156.73
Tamil Nadu,Rice,Rabi,2018,465.37,1299.98
